Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
RCAN2,0.86,0.2855,1.0,0.5415,1.0,1.0,0.8021,1.0,0.247,0.7957
SLC25A27,0.1714,0.9462,0.7144,0.028,1.0,0.7188,0.3801,0.0001,0.1985,0.1976
TDRD6,0.7154,0.9486,0.9547,0.167,1.0,0.7185,0.8581,0.0001,1.0,0.0704
AL161618.1,0.71,0.9723,0.7113,0.8974,0.46,0.0001,0.0694,0.4587,0.5167,0.0707
ADGRF5,0.3343,0.0001,0.0977,0.0508,1.0,1.0,0.7251,1.0,0.3547,0.7274
ADGRF1,0.7083,0.9509,0.6997,0.3359,1.0,0.7168,0.9198,0.0001,1.0,1.0
TNFRSF21,0.7061,0.5818,0.9776,0.5062,0.9673,0.9047,0.8169,0.6518,0.4358,0.5065
AL355353.1,0.3964,0.5993,0.873,0.0194,0.3634,0.3738,0.0191,0.7658,0.3108,0.0678
CD2AP,0.1597,0.5763,0.1864,0.2731,0.0779,0.9424,0.0282,0.0792,0.4789,0.0208
AL358178.1,0.5755,0.6732,0.5236,0.5358,0.515,0.7144,0.8835,0.4703,0.8754,0.0942
ADGRF4,0.783,0.6817,0.6538,0.0387,0.6363,0.869,0.2088,0.8046,0.4931,0.492
OPN5,0.0951,0.0001,0.3362,0.337,1.0,0.6948,0.7647,1.0,1.0,0.4857
PTCHD4,0.7384,0.5963,0.2873,0.293,1.0,0.6489,0.7291,0.3293,0.325,1.0
RBMXP1,0.0001,0.1035,0.0001,0.0117,0.4647,0.0001,0.4625,0.4592,0.5484,0.4565
MMUT,0.5648,0.9396,0.3035,0.3287,0.5142,0.6396,0.1515,0.3325,0.418,0.0957
CENPQ,0.2631,0.9233,0.7362,0.1803,0.3011,0.3785,0.0139,0.7782,0.0767,0.0344
GLYATL3,0.3398,0.0001,0.3418,0.3285,1.0,1.0,0.6877,1.0,1.0,0.6986
C6orf141,0.034,0.9281,0.8809,0.8835,0.438,0.2654,0.2653,0.8747,0.8676,0.8578
RHAG,0.5368,0.5621,0.533,0.3079,0.4579,0.0001,0.0695,0.4646,0.8502,0.0706
TFAP2D,0.0001,0.0001,0.3279,0.0251,0.0001,0.2883,0.1007,1.0,0.2407,0.801
TFAP2B,0.786,0.33,0.4049,0.8519,0.7751,0.7736,0.9681,1.0,0.1923,0.3125
AL158050.1,0.4072,0.954,1.0,0.9535,0.46,0.9936,0.2327,1.0,0.0001,1.0
AL355997.1,0.095,0.0001,0.0001,0.0454,1.0,1.0,0.9876,0.0001,0.3155,0.2165
PKHD1,0.0119,0.8584,1.0,0.1574,0.0467,0.0472,0.8724,0.7701,0.4384,0.5326
MCM3,0.4165,0.753,0.5959,0.1212,0.4189,0.7442,0.6646,0.4807,0.1362,0.2989
PAQR8,0.1932,0.8409,0.0716,0.4826,0.3108,0.6421,0.0622,0.25,0.2747,0.0487
EFHC1,0.9199,0.6324,0.2213,0.8419,0.6052,0.2304,0.9128,0.146,0.7584,0.2087
TRAM2,0.8446,0.3159,0.2328,0.9932,0.081,0.3242,0.836,0.0481,0.3168,0.2983
TRAM2-AS1,0.2806,0.611,0.1486,0.8356,0.1466,0.7009,0.2056,0.0942,0.7365,0.1328
AL109918.1,0.3215,0.1124,0.2552,0.2401,0.3203,0.0235,0.7676,0.0025,0.4722,0.0114
TMEM14A,0.4091,0.4066,0.8668,0.2422,0.8959,0.2188,0.5244,0.2199,0.662,0.1025
AL109918.3,0.8912,0.9472,0.2724,0.0122,1.0,0.2352,0.0631,0.2805,0.027,0.2451
GSTA4,0.0525,0.4523,0.514,0.1465,0.3885,0.7865,0.7527,0.9198,0.6226,0.9009
RF00100,0.8928,0.4361,0.5798,0.3021,0.6318,0.6918,0.8519,0.6601,0.8382,0.8053
RN7SK,0.8913,0.4382,0.5757,0.2959,0.6321,0.6826,0.8512,0.6646,0.8377,0.7965
ICK,0.5519,0.5388,0.4593,0.1226,0.2221,0.9252,0.0547,0.1308,0.1712,0.0184
FBXO9,0.2011,0.5668,0.2825,0.607,0.4356,0.993,0.0732,0.8005,0.1648,0.168
RN7SL244P,0.2447,0.9293,0.2436,0.7671,0.5616,0.7047,0.5717,0.5566,1.0,0.5798
GCM1,0.7296,0.9259,0.5862,0.0175,0.8423,0.5637,0.1564,0.5612,0.1517,0.1752
SOD1P1,0.907,0.9505,0.7771,0.7164,1.0,0.6876,1.0,1.0,0.0001,0.7082
AL512378.1,0.7431,0.9988,0.4874,0.2383,0.7226,0.4527,0.1022,0.4014,0.2099,0.0207
HMGB1P20,0.0001,0.0001,0.3393,0.0121,0.0001,0.2929,0.4611,1.0,0.3293,0.4584
ELOVL5,0.0154,0.8561,0.0161,0.2827,0.0207,0.7825,0.0033,0.0565,0.0749,0.0067
RPS16P5,0.3597,0.8608,0.8944,0.6994,0.0974,0.5338,0.4225,0.9643,0.3842,0.6689
AL034374.1,0.2444,0.2126,0.2698,0.4855,0.0576,0.0522,0.1875,0.8606,0.468,0.7007
GCLC,0.0833,0.9866,0.1253,0.6208,0.0973,0.8142,0.0244,0.11,0.2848,0.0362
AL033397.2,0.3893,0.9238,0.0419,0.6348,0.635,0.5517,0.3995,0.2495,0.4561,0.0736
LINC01564,0.081,0.0001,0.0946,0.0001,0.4504,1.0,0.3571,1.0,0.0001,1.0
KLHL31,0.776,0.464,0.1425,0.8117,0.1454,0.3643,0.8296,0.0987,0.2392,0.6166
AL590652.1,0.8692,0.9542,0.681,0.2035,0.8576,0.7122,0.3446,0.9168,0.4964,0.1779
LRRC1,0.3906,0.4646,0.5958,0.301,0.9131,0.6935,0.9241,0.7087,0.7686,0.4172
AL033384.2,0.1164,0.5526,0.2565,0.0262,0.5052,0.8376,0.9957,0.7287,0.2811,0.2187
MLIP,0.125,0.2209,0.0981,0.1027,0.9022,0.5843,0.567,0.6167,0.7213,0.9178
TINAG,0.9703,0.2315,0.6942,0.1464,0.432,0.7084,0.3712,0.111,0.7289,0.0597
FAM83B,0.3347,0.2061,0.0001,0.1004,0.8022,0.4269,0.768,0.4559,0.6443,0.462
AL049555.1,0.2851,0.2059,0.0001,0.329,1.0,0.9265,1.0,0.4578,0.5443,0.0734
HCRTR2,0.7137,0.9517,0.7177,0.0582,0.0001,0.0001,0.2218,0.0001,0.2422,0.2195
GFRAL,0.7234,0.946,0.9501,0.5005,1.0,0.7196,0.9935,0.0001,0.3397,0.4581
DST,0.0013,0.3397,0.0079,0.3418,0.0949,0.6919,0.5177,0.2259,0.7894,0.6624
AL512422.1,0.5623,0.6497,0.6782,0.56,0.7268,0.7292,1.0,0.8241,0.5786,0.6555
RPL17P26,0.3352,0.177,1.0,0.5261,1.0,0.7245,0.9845,0.4213,0.3172,0.7661
BEND6,0.4025,0.1683,0.8284,0.6628,0.0038,0.5361,0.3061,0.0775,0.5235,0.5779
OSTCP6,0.0001,0.2955,0.3243,0.0987,0.4628,0.4307,1.0,1.0,1.0,1.0
KIAA1586,0.193,0.9933,0.2849,0.5353,0.2241,0.7984,0.0823,0.3028,0.4554,0.0961
ZNF451,0.3367,0.8834,0.118,0.6676,0.3809,0.5193,0.1455,0.1879,0.4646,0.0587
ZNF451-AS1,0.0151,0.6966,0.0018,0.1742,0.0511,0.424,0.3545,0.0075,0.3785,0.1322
BAG2,0.1227,0.7086,0.3872,0.2238,0.0857,0.5465,0.0219,0.2457,0.2652,0.0628
RAB23,0.7827,0.3137,0.9628,0.1382,0.1008,0.778,0.036,0.1768,0.4495,0.0631
PRIM2,0.9524,0.9495,0.929,0.0171,0.8877,0.9819,0.017,0.8723,0.0226,0.0171
FO680682.1,0.3348,0.3049,0.3402,0.3317,1.0,1.0,0.8582,0.883,0.5391,0.8606
AL021368.3,0.3727,0.9039,0.3655,0.8303,0.2181,1.0,0.8686,0.1965,0.8351,0.7186
AL021368.1,0.7094,0.9524,0.4157,0.7181,0.0001,0.4659,0.0001,0.425,0.0001,0.2349
AL021368.2,0.1455,0.8918,0.0214,0.9958,0.1032,0.3547,0.0899,0.0176,0.8295,0.0114
GUSBP4,0.1655,0.4198,0.3921,0.8065,0.8441,0.1733,0.3448,0.4053,0.59,0.6822
POM121L14P,0.7909,0.8435,0.782,0.9778,1.0,1.0,0.4633,1.0,0.7466,0.726
LINC00680,0.3268,0.222,0.14,0.3584,0.8924,0.6129,0.8871,0.6959,0.7264,0.5481
AL445250.1,0.6294,0.7748,0.6519,0.4329,0.3783,0.9916,0.1452,0.4552,0.374,0.1207
AC244258.1,0.2651,0.629,0.6301,0.9229,0.1963,0.1894,0.5783,0.0001,1.0,0.0722
KHDRBS2,1.0,1.0,1.0,0.9912,1.0,0.6921,0.7942,1.0,0.2527,0.7987
FKBP1C,0.3386,0.6208,0.4676,0.3408,0.4232,0.8066,0.8405,0.8264,0.4854,0.7514
LGSN,0.5822,0.9615,0.3694,0.6506,0.2026,0.3477,0.7569,0.0406,0.2717,1.0
AL121949.1,0.4546,0.3995,0.4443,1.0,0.0001,0.0001,0.0697,0.0001,1.0,0.0724
PTP4A1,0.1767,0.9863,0.3111,0.5571,0.2105,0.7659,0.0902,0.3688,0.5036,0.1672
AL135905.1,0.4844,0.5123,0.3477,0.9579,0.1234,0.6966,0.5166,0.3023,0.5029,0.4768
AL135905.2,0.18,0.9913,0.3124,0.5708,0.2162,0.7614,0.0947,0.3724,0.5043,0.1597
PHF3,0.1836,0.9022,0.2363,0.2221,0.103,0.9317,0.0227,0.1775,0.0988,0.0239
EYS,0.6711,0.0946,0.5139,0.3762,0.0979,0.3392,0.2811,0.0348,0.0339,0.8092
SCAT8,0.7102,0.9187,0.7068,0.6369,0.4573,0.0001,1.0,0.4555,1.0,1.0
AL365217.1,0.065,1.0,0.9087,1.0,0.1938,0.1909,0.1788,1.0,0.0001,0.7207
ADH5P4,0.5539,0.2866,0.7973,0.5406,1.0,0.5694,0.707,1.0,0.0001,1.0
NUFIP1P,0.0205,0.1924,0.0923,0.1017,0.6659,0.2099,0.2778,1.0,1.0,0.6989
AL713998.1,0.1278,0.9583,0.717,0.8923,0.3154,0.1591,0.2716,0.0001,1.0,0.0716
AL646090.2,1.0,0.2224,0.5046,0.8918,0.5973,0.6548,0.6873,0.7885,0.6591,0.6454
AL391807.1,0.4533,0.4601,0.4426,0.4342,0.0001,0.0001,0.0344,0.0001,0.2297,0.0334
ADGRB3,0.6059,0.781,0.7637,0.963,1.0,1.0,1.0,0.0001,1.0,0.0754
LMBRD1,0.7335,0.5197,0.6045,0.0488,0.6842,0.3654,0.0518,0.1877,0.0414,0.0051
NPM1P37,0.0848,0.9067,0.622,0.1978,0.13,0.2257,0.0584,0.8469,0.4642,0.6155
GAPDHP42,0.7305,0.068,0.2444,0.0824,0.0658,0.2548,0.1033,0.7751,0.9907,0.8008
COL19A1,0.7766,0.586,0.0571,0.281,0.5742,0.1687,0.5438,0.4479,0.3198,0.057
RPL37P15,0.3432,0.1817,0.8182,0.5159,0.5629,0.9505,0.5249,0.7289,0.1817,0.5555
COL9A1,0.3405,0.2344,0.24,0.781,0.8232,0.0466,0.7341,0.048,0.4702,0.5936
AL365226.1,0.3278,0.6043,0.7492,0.0412,0.0741,0.8642,0.4254,0.4718,0.0109,0.4052
FAM135A,0.0526,0.7629,0.1184,0.3107,0.0318,0.8583,0.0117,0.1241,0.3038,0.033
SDHAF4,0.057,0.7295,0.0355,0.2615,0.0288,0.582,0.0038,0.0604,0.3302,0.0228
AL583856.2,0.1936,0.8247,0.1704,0.0652,0.3029,1.0,0.5945,0.294,0.2155,0.5155
AL583856.1,0.9525,0.0797,0.9526,0.0343,0.1161,0.0001,0.1183,0.1783,0.9962,0.1213
SMAP1,0.7738,0.3857,0.7032,0.4378,0.5372,0.558,0.6697,0.2733,0.9369,0.3329
AL354943.1,0.4667,0.2621,0.2735,0.9153,0.9034,0.9486,0.5424,1.0,0.3304,0.3817
NDUFAB1P1,0.7649,0.8401,0.6932,0.3531,0.637,0.6564,0.4425,0.5512,0.4345,0.7518
B3GAT2,0.9082,0.47,0.6449,0.3703,0.5102,0.6077,0.4223,0.285,0.8615,0.2201
LYPLA1P3,0.3286,0.0793,0.0001,0.0001,0.3833,0.7209,0.7107,0.1877,0.1995,0.0001
AL589935.1,0.0431,0.4767,0.1191,0.2262,0.0528,0.7095,0.014,0.0876,0.7089,0.022
OGFRL1,0.2437,0.435,0.4011,0.2224,0.0932,0.8394,0.034,0.2073,0.5863,0.0882
LINC00472,0.6981,0.8944,0.6166,0.7728,0.6964,0.42,0.887,0.4604,0.967,0.9847
AL136164.3,0.5294,0.9978,0.1147,0.2193,0.4634,0.0608,0.4523,0.2671,0.7231,0.9673
RIMS1,0.0538,0.1275,0.1323,0.0867,0.6515,0.6545,0.9165,0.6861,0.6817,0.4572
FO393414.1,0.7176,0.9489,0.145,0.7236,0.0001,0.4411,0.0686,0.3399,1.0,0.9867
FO393414.3,0.346,0.864,0.5339,0.4906,0.518,0.9758,0.3091,0.6384,0.8754,0.6018
KCNQ5,0.147,0.8318,0.5318,0.3781,0.2802,0.4414,0.126,0.4609,0.4844,0.2061
KCNQ5-IT1,0.0787,0.3844,0.7557,0.8011,0.4571,0.4814,0.235,0.8235,0.6694,0.8542
KNOP1P4,0.0904,0.2307,0.6267,0.0428,0.5209,0.6463,0.0148,0.9146,0.1109,0.3342
PGAM1P10,0.3601,0.1395,0.4952,0.2624,0.939,0.8141,0.7872,0.768,0.9458,0.67
KCNQ5-AS1,0.1412,0.8732,0.4163,0.0932,0.2999,0.2501,0.0929,0.7987,0.3575,0.5773
RBPMS2P1,0.1494,0.9849,0.1903,0.1753,0.1158,0.4693,0.0428,0.4483,0.3599,0.8001
KHDC1L,1.0,0.9901,0.7471,0.5466,0.8328,0.7709,0.3761,0.729,0.482,0.9958
KHDC1,0.6491,0.9771,0.7708,0.6274,0.4998,0.5159,0.965,0.8716,0.4974,0.5007
AC019205.1,0.2077,0.4338,0.0341,0.1291,0.5759,0.3952,0.7607,0.3175,0.4256,0.5335
RPSAP41,0.3297,0.0624,0.1331,0.3811,0.7221,0.7836,0.9261,0.9397,0.654,0.7269
EIF3EP1,0.3776,0.4262,0.0484,0.7209,0.1532,0.3116,0.2537,0.0197,0.5662,0.0322
PAICSP3,0.8638,0.9826,0.4714,0.3714,0.6374,0.7175,0.732,0.452,0.5997,0.4623
KHDC3L,0.7141,0.9497,0.9091,0.165,0.0001,0.423,0.0706,1.0,1.0,0.8673
OOEP,1.0,0.3814,0.1508,0.9251,0.5898,0.4408,0.866,0.6944,0.3891,0.298
RPL39P3,0.2569,0.662,0.2457,0.1647,0.6111,0.983,0.8223,0.5955,0.4763,0.7413
RPS6P8,0.2586,0.323,0.4257,0.5947,0.027,0.0531,0.046,0.8334,0.5994,0.7634
DDX43,0.5572,0.8507,0.6669,0.1744,0.5794,0.3684,0.4265,0.6256,0.0332,0.1409
CGAS,0.5189,0.9751,0.3087,0.2503,0.5027,0.709,0.0826,0.3205,0.1393,0.0574
MTO1,0.082,0.8181,0.1128,0.4087,0.1378,0.9551,0.0271,0.3464,0.2213,0.0795
RN7SL827P,0.8815,0.3081,0.4586,0.0818,0.6474,0.7378,0.2985,0.4912,0.2086,0.7071
AL603910.1,0.4256,0.5136,0.2583,0.3347,0.9974,0.7619,0.0222,0.6314,0.0318,0.0355
EEF1A1,0.1786,0.7238,0.2213,0.1219,0.1613,0.9226,0.028,0.218,0.1796,0.0413
AL121972.1,0.554,0.5943,0.6053,0.3642,0.2746,0.8876,0.6718,0.7547,0.3622,0.9155
SLC17A5,0.5745,0.2372,0.1883,0.5182,0.0729,0.4666,0.2504,0.0622,0.6181,0.1298
RPS27P15,0.3466,0.1806,0.8392,0.9027,0.0001,0.926,0.284,0.9201,1.0,0.7461
AL590428.1,0.6166,0.2239,0.2668,0.4234,0.3285,0.3432,0.2577,0.165,0.0792,0.7915
CD109,0.0445,0.8136,0.0213,0.7824,0.2239,0.7527,0.0566,0.0442,0.3212,0.0066
AL357507.1,0.5361,0.2846,0.2764,0.3855,0.0001,0.4537,0.0661,0.383,0.3569,0.8386
AL356277.3,0.7092,0.2244,0.7144,0.0453,0.4675,0.0001,0.1123,0.464,0.567,0.1102
COL12A1,0.0001,0.1011,0.3247,0.0586,0.4679,0.2806,0.4616,0.8095,0.4629,0.4604
COX7A2,0.0895,0.299,0.3738,0.0691,0.6248,0.4668,0.906,0.8385,0.5424,0.4065
TMEM30A,0.2376,0.3998,0.0853,0.2258,0.0317,0.559,0.0186,0.0076,0.5919,0.0038
AL080250.1,0.4619,0.9963,0.171,0.7072,0.494,0.6352,0.301,0.3623,0.59,0.1899
FILIP1,0.9611,0.4531,0.4171,0.372,0.4804,0.4684,0.334,0.0438,0.8214,0.0221
HMGB1P39,0.9627,0.7821,0.333,0.3032,1.0,0.7198,0.4648,0.0001,0.3348,0.4487
SENP6,0.1269,0.7428,0.0902,0.2352,0.0438,0.7384,0.0131,0.0627,0.2017,0.0094
AL356057.1,0.7398,0.395,0.7515,0.316,0.1738,1.0,0.6392,0.208,0.0447,0.5278
RN7SKP163,0.5152,0.4413,0.2443,0.0868,0.8216,0.1123,0.0495,0.117,0.0503,1.0
MYO6,0.8406,0.2826,0.4764,0.1723,0.5523,0.5247,0.4107,0.2345,0.8577,0.1536
IMPG1,0.0149,0.0118,0.0586,0.171,0.859,0.9889,0.3159,0.9512,0.3669,0.6854
AL590426.1,0.9603,0.7796,0.3283,0.6986,0.4398,0.3517,0.8917,0.0001,0.1545,0.1077
RPS6P7,0.5234,0.5237,0.5274,0.5208,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
MEI4,0.3706,0.4027,0.2295,0.4719,0.4482,0.2485,0.3449,0.4643,0.8451,1.0
IRAK1BP1,0.0246,0.5029,0.1065,0.1497,0.0147,0.8384,0.0045,0.1529,0.2534,0.0413
PHIP,0.3498,0.3011,0.9685,0.4878,0.9483,0.445,0.8492,0.3822,0.8161,0.5628
AL356776.1,0.4406,0.2821,0.0682,0.5795,0.7672,0.4269,1.0,0.4596,0.8527,0.3676
HMGN3,0.0475,0.4117,0.5387,0.0307,0.2733,0.1081,0.9163,0.7654,0.1949,0.0505
HMGN3-AS1,0.0702,0.2991,0.9866,0.0332,0.3574,0.1524,0.5158,0.4333,0.1839,0.083
AL355796.1,0.5263,0.0154,0.2189,0.5945,0.1784,0.875,1.0,0.2587,0.1084,0.5166
LCAL1,0.0533,0.4078,0.6803,0.0289,0.3916,0.2902,0.7345,0.7927,0.4145,0.2373
AL078601.2,0.5291,0.5203,1.0,0.2432,0.9688,0.7014,0.0609,0.727,0.1857,0.2418
LCA5,0.1775,0.8348,0.9974,0.7048,0.0312,0.0603,0.0169,0.524,0.7843,0.3358
AL391840.1,1.0,1.0,0.9956,1.0,1.0,0.8674,1.0,1.0,0.0001,0.7086
AL451064.1,0.2664,0.9717,0.6272,0.423,0.246,0.3799,0.0759,0.5407,0.5757,0.314
AL451064.2,0.0775,0.0001,0.1007,0.335,0.3237,0.2223,1.0,1.0,1.0,0.5305
SH3BGRL2,0.0093,0.7696,0.9978,0.317,0.0474,0.0311,0.0008,0.523,0.0437,0.4161
ELOVL4,0.0018,0.147,0.2222,0.867,0.0939,0.0881,0.0098,0.9966,0.1563,0.4862
GAPDHP63,0.5403,0.9982,0.6442,0.5408,0.4623,0.2782,0.0967,0.668,0.7669,0.2385
TTK,0.6625,0.8082,0.7747,0.0498,0.8444,0.3169,0.0112,0.4069,0.0057,0.0029
AL591135.1,0.5824,0.0792,0.2558,0.0999,0.1719,0.7109,0.1441,0.0676,0.9096,0.0295
BCKDHB,0.6193,0.8357,0.3908,0.114,0.48,0.7442,0.0425,0.4714,0.1856,0.0501
AL359715.3,0.9209,0.9881,0.4613,0.7637,0.9146,0.4622,0.7817,0.4876,0.658,0.3622
AL359715.4,0.2361,0.9476,0.0716,1.0,1.0,0.6451,1.0,0.2814,1.0,0.3583
AL359715.1,0.5585,0.8596,0.756,0.2409,0.7396,0.9959,0.5696,0.9072,0.2776,0.7157
AL359715.2,0.758,0.827,0.7825,0.7742,0.5452,0.5548,0.5548,1.0,1.0,0.8989
TENT5A,0.0939,0.4722,0.1204,0.7532,0.2109,0.7213,0.3823,0.0088,0.3339,0.3071
AL122017.1,0.5091,0.1803,0.0236,0.4941,0.3898,0.6996,0.7742,0.0087,0.1409,0.0126
LINC02542,0.2315,0.9394,1.0,0.8332,0.2926,0.4256,0.2997,0.9487,0.6124,0.4425
IBTK,0.4003,0.8713,0.2866,0.2867,0.2047,0.7737,0.0248,0.2201,0.2303,0.0332
TPBG,0.7006,0.7212,0.3561,0.1334,0.3204,0.6013,0.0045,0.1486,0.0136,0.0055
UBE3D,0.2995,0.4081,0.5428,0.4544,0.9928,0.8342,0.2419,0.8323,0.2926,0.3389
LAP3P1,0.3376,0.0001,0.3288,0.3243,1.0,0.6933,0.6926,1.0,1.0,0.6929
AL355613.1,0.0395,0.9516,0.7803,0.7115,0.3231,0.2811,0.1585,1.0,0.0001,0.7081
DOP1A,0.2916,0.7856,0.0916,0.4184,0.0974,0.453,0.0777,0.0607,0.4913,0.034
PGM3,0.8344,0.6572,0.3178,0.4108,0.3139,0.4216,0.1825,0.2251,0.5696,0.1122
RWDD2A,0.5816,0.4036,0.6157,0.4356,0.6681,0.3474,0.764,0.2596,0.9176,0.2728
ME1,0.0215,0.8749,0.0095,0.5871,0.0302,0.5111,0.0238,0.051,0.6291,0.0192
AL391416.1,0.7948,0.6757,0.5371,0.1243,0.7302,1.0,0.4527,0.462,0.6628,0.459
SNAP91,0.2351,0.405,0.3698,0.7056,0.0001,0.1116,0.432,0.1899,1.0,0.3158
CYB5R4,0.6628,0.9119,0.3561,0.2875,0.4661,0.5379,0.0481,0.1457,0.1199,0.0056
AL161621.1,0.5331,1.0,0.5343,0.6438,0.4619,0.0001,1.0,0.4562,1.0,1.0
MRAP2,0.8539,0.606,0.7997,0.0517,1.0,1.0,0.3106,1.0,0.0958,0.303
CEP162,0.9114,0.3646,0.5683,0.0867,0.3124,0.69,0.049,0.2553,0.3925,0.0521
TBX18,0.3133,0.9516,0.7103,0.0996,1.0,0.7146,0.7187,0.0001,0.3306,0.458
AL135903.1,0.952,0.9527,0.0573,0.7244,0.0001,0.0632,0.0702,0.2497,1.0,0.2505
LINC02535,0.727,0.9736,0.9539,0.9528,0.8495,0.7035,0.7201,0.4588,0.4643,0.0001
TPT1P6,0.2837,0.7286,0.1228,0.6578,0.4635,0.1149,0.1003,0.4298,0.7659,0.4271
NT5E,0.0837,0.4822,0.0276,0.5608,0.3447,0.4954,0.0145,0.183,0.1451,0.0144
AL589666.2,0.9205,0.9503,0.9988,0.8583,1.0,0.5309,1.0,0.1874,1.0,0.891
SNX14,0.4778,0.2493,0.5357,0.0656,0.5082,0.087,0.1478,0.0258,0.3665,0.0114
SYNCRIP,0.0964,0.9025,0.3063,0.3239,0.1469,0.5007,0.0426,0.2604,0.2877,0.0709
PKMP3,0.2049,0.2655,0.0894,0.9695,1.0,0.6972,0.2919,0.7108,0.3178,0.137
SNHG5,0.0703,0.9665,0.7553,0.3195,0.177,0.0547,0.3725,0.7414,0.4599,0.1809
AL355615.1,0.5204,0.9944,0.9929,1.0,0.4648,0.4301,0.4613,1.0,1.0,0.9941
CGA,0.2683,0.5596,0.535,0.6654,1.0,0.9335,1.0,0.0001,1.0,0.2831
AL139274.2,0.1827,0.9312,0.3354,0.0695,0.3065,0.1739,0.0084,0.5341,0.2814,0.6093
ZNF292,0.9912,0.6828,0.0604,0.383,0.7307,0.1811,0.741,0.1335,0.7223,0.8349
AL139274.1,0.1788,0.443,0.6784,0.1458,0.6228,0.6038,0.1169,0.8303,0.2517,0.6375
GJB7,0.5845,0.9822,0.4914,0.1439,0.737,0.9525,0.5383,0.8494,0.2469,1.0
HSPD1P10,0.0812,0.8833,0.0289,0.3536,0.1353,0.5342,0.9932,0.1838,0.7035,0.5615
SMIM8,0.5544,0.4226,0.3577,0.2886,0.2085,0.7886,0.127,0.0937,0.7801,0.05
C6orf163,0.7049,0.9818,0.8554,0.9362,0.6948,0.9052,0.6469,0.8666,0.9775,0.8368
AL096817.1,0.327,0.6706,0.3786,0.1815,0.2698,0.3083,0.2323,0.7889,0.4321,0.6356
CFAP206,0.0001,0.0973,0.0994,0.3299,0.4608,0.4629,0.4292,0.8713,0.6599,0.656
AL049697.3,0.8674,0.2872,0.5332,0.5292,1.0,0.7181,0.7121,0.0001,0.0001,0.0001
SLC35A1,0.3925,0.6938,0.6179,0.2615,0.2825,0.6867,0.1007,0.3014,0.3701,0.053
RARS2,0.6163,0.7523,0.5334,0.0447,0.7867,0.3508,0.0582,0.4536,0.034,0.0327
ORC3,0.9207,0.859,0.4483,0.0411,0.91,0.3617,0.024,0.2906,0.0091,0.0037
AKIRIN2,0.8655,0.581,0.785,0.4622,0.568,0.9113,0.4928,0.4975,0.8772,0.4433
CNR1,0.2716,0.5333,0.2406,0.4711,0.1196,0.9186,0.9915,0.102,0.4387,0.9154
AL121835.2,0.3839,0.5019,0.5078,0.1627,0.8631,0.9577,0.1621,0.9995,0.2177,0.1936
AL139042.1,0.5431,0.4806,0.4643,0.9925,0.8714,0.9172,0.1326,0.9791,0.1189,0.0968
RNGTT,0.152,0.5205,0.5059,0.4722,0.0846,0.4053,0.0811,0.1566,0.9418,0.2006
RF00045,0.7115,0.9733,0.7191,0.3472,0.4595,0.0001,0.435,0.4582,0.8602,0.4436
AL079342.3,0.3385,0.0001,0.1051,0.0456,1.0,0.4569,0.3163,0.3361,0.3192,0.7726
AL353135.1,0.8858,0.7596,0.5827,0.4826,0.5524,0.6461,0.236,1.0,0.4549,1.0
PNRC1,0.1422,0.771,0.3244,0.6764,0.121,0.6514,0.1115,0.2558,0.8791,0.2359
RN7SL336P,0.2409,0.8509,1.0,0.2667,0.04,0.1907,0.064,0.9984,0.3595,0.4353
SRSF12,0.0688,0.3097,0.3172,0.0092,0.5952,0.6741,0.8666,0.9561,0.6133,0.6995
PM20D2,0.1514,0.1751,0.0284,0.5314,0.771,0.8433,0.5001,0.4581,0.5313,0.2033
GABRR1,0.6345,0.9475,0.7204,0.7189,1.0,1.0,1.0,0.0001,1.0,0.2921
GABRR2,0.0779,0.009,0.0016,0.6378,0.6606,0.2788,0.487,0.4854,0.0853,0.0147
TUBB3P1,0.3724,0.5192,0.3694,0.7341,0.0001,0.0001,0.4299,0.0001,1.0,0.4286
UBE2J1,0.2313,0.8811,0.6691,0.3404,0.3601,0.5236,0.1435,0.6008,0.4827,0.2449
RRAGD,0.7475,0.3166,0.9377,0.424,0.6452,0.7513,0.7553,0.2995,0.8512,0.4254
ANKRD6,0.3613,0.8956,0.054,0.4116,0.5284,0.3603,0.1459,0.1629,0.3239,0.0438
RN7SL11P,0.6297,0.7372,0.6302,0.077,0.4556,0.0001,0.0618,0.4661,0.2178,0.0628
AL159174.1,0.8313,0.7792,0.7728,0.709,1.0,0.9276,0.9911,0.0001,0.189,0.1927
LYRM2,0.6663,0.3817,0.2944,0.809,0.2595,0.5891,0.5939,0.1659,0.5954,0.2898
MDN1,0.0457,0.3824,0.1053,0.239,0.2862,0.9565,0.0118,0.5849,0.045,0.0181
AL096678.1,0.0003,0.9709,0.0337,0.7108,0.0057,0.1722,0.0009,0.1473,0.5317,0.0816
DNAJC19P6,0.5715,0.6458,1.0,0.0749,0.2452,0.7015,0.2917,0.453,0.0248,0.1255
AL353692.1,0.5284,0.176,0.456,0.1078,0.0916,0.9977,0.5464,0.1608,0.0381,0.6005
CASP8AP2,0.0156,0.7858,0.0172,0.4627,0.096,0.6103,0.0287,0.0349,0.2745,0.0135
