Description,Africa-America,Africa-CentralAsia,Africa-EastAsia,Africa-SouthAsia,America-CentralAsia,America-EastAsia,America-SouthAsia,CentralAsia-EastAsia,CentralAsia-SouthAsia,EastAsia-SouthAsia
AL034417.3,0.7465,0.4061,0.2346,0.5893,0.4628,0.5283,1.0,0.4621,0.3536,0.8221
ERRFI1,0.0639,0.4008,0.0161,0.5328,0.0848,0.3829,0.5335,0.0852,0.4083,0.1976
AL034417.2,0.7068,0.3273,0.9118,0.1014,0.1135,0.4283,0.2277,0.7104,0.5848,0.4588
SLC45A1,0.7582,0.381,0.3229,0.1787,0.3171,0.2992,0.1207,0.9013,0.7379,0.9139
RERE,0.5316,0.7377,0.1902,0.6109,0.5394,0.7538,0.4304,0.1509,0.8577,0.1342
RERE-AS1,0.6128,0.7778,0.1011,0.9733,0.9184,0.0865,0.6468,0.0761,0.7603,0.0487
RF00599,0.5351,0.9971,1.0,0.2151,0.4617,0.286,0.1702,0.6359,0.4359,0.389
AL096855.1,0.842,0.8512,0.5882,0.0197,0.6761,0.5558,0.1286,0.8737,0.1733,0.3535
RPL7P11,0.0646,0.8297,0.6805,0.424,0.1016,0.1318,0.0185,0.6561,0.3762,0.8091
RPL7P7,0.1111,0.7785,0.1901,0.7948,0.1548,0.1833,0.141,0.3934,0.9948,0.3821
AL357552.1,0.3257,0.6594,0.2952,0.096,0.2286,0.0501,0.0066,0.7722,0.5525,0.6716
AL357552.2,0.6609,0.6225,0.1101,0.516,0.5023,0.15,0.3439,0.5737,0.9969,0.591
ENO1,0.3226,0.3599,0.5688,0.2715,0.931,0.6727,0.8749,0.6945,0.826,0.5967
ENO1-AS1,0.6362,0.0983,0.2825,0.142,0.3884,0.6571,0.4732,0.839,0.8269,0.94
HMGN2P17,0.971,0.999,0.4043,0.5381,1.0,0.2359,0.492,0.4637,0.3838,0.3196
CA6,0.7968,0.6087,0.6318,0.5805,1.0,0.7201,0.8693,0.0001,1.0,0.0745
SLC2A5,0.092,0.7785,0.6455,0.746,0.2424,0.1753,0.1991,0.9019,0.9435,0.9866
GPR157,0.1922,0.9978,0.2241,0.244,0.2289,0.9194,0.025,0.3769,0.1418,0.0674
MIR34AHG,0.4309,0.9478,0.1085,0.7586,0.3282,0.4376,0.5165,0.2199,0.7428,0.2458
LNCTAM34A,0.2364,0.3554,0.4369,0.7795,0.9426,0.1296,0.3486,0.2273,0.4209,0.7218
H6PD,0.2576,0.6653,0.0893,0.8705,0.1455,0.5363,0.2839,0.1235,0.843,0.1646
SPSB1,0.3542,0.8119,0.4172,0.7951,0.212,0.9095,0.197,0.2386,0.9965,0.2133
BX323043.1,0.2343,0.0364,0.2262,0.7671,0.4631,0.8794,0.6298,0.1866,0.1784,0.5834
LINC02606,0.8093,0.9797,0.6522,0.8321,0.7932,0.4663,0.616,0.6697,0.749,0.885
SLC25A33,0.1429,0.9705,0.2565,0.7475,0.1652,0.8495,0.1066,0.2806,0.6911,0.2051
AL954705.1,0.1614,0.321,0.3522,0.0401,0.7121,0.6395,0.5517,0.9716,0.2804,0.2943
TMEM201,0.1669,0.6984,0.3747,0.4807,0.4097,0.7614,0.537,0.6511,0.7783,0.7888
PIK3CD,0.8058,0.6707,0.2192,0.3648,0.4557,0.3843,0.2659,0.1835,0.6594,0.1003
PIK3CD-AS1,0.4127,0.6398,0.4195,0.963,0.6063,0.2742,0.3993,0.3925,0.6268,0.5393
AL691449.1,0.3812,0.217,0.9661,0.1677,0.1162,0.5481,0.0382,0.3253,0.9583,0.2965
PIK3CD-AS2,0.796,0.8106,0.9592,0.4277,0.9669,0.7755,0.3756,0.859,0.4653,0.5332
CLSTN1,0.6601,0.5358,0.8152,0.5504,0.2936,0.8332,0.3253,0.2307,0.9676,0.3202
AL357140.3,0.5301,0.9564,1.0,0.866,0.4621,0.9325,1.0,0.8431,1.0,1.0
CTNNBIP1,0.1666,0.5753,0.1063,0.9133,0.1398,0.7659,0.2819,0.1214,0.5054,0.234
AL357140.1,0.1007,0.3169,0.5336,0.4332,0.0275,0.487,0.6063,0.1651,0.3538,0.9073
AL357140.4,0.4676,0.98,0.4077,0.0436,0.5576,0.2587,0.0849,0.6155,0.2425,0.3375
LZIC,0.0313,0.2089,0.0975,0.0236,0.5565,0.6425,0.8183,0.8342,0.4521,0.5143
AL357140.2,0.5618,0.609,0.1289,0.1201,1.0,1.0,1.0,0.4641,0.4639,0.0001
NMNAT1,0.5538,0.6293,0.0622,0.3144,0.3721,0.3052,0.1933,0.0933,0.6068,0.0348
RN7SKP269,0.6003,0.4709,0.416,0.8283,0.8994,0.4677,0.8683,0.2816,0.7251,0.5167
AL603962.1,0.5887,0.6559,0.4506,0.0716,0.9734,0.3209,0.1931,0.4105,0.3979,0.0727
