Name,Description,GSM1312748.Yakut.rnaseqccounts,GSM1312745.Yakut.rnaseqccounts,GSM1312749.Yakut.rnaseqccounts,GSM1312744.Yakut.rnaseqccounts,GSM1312747.Yakut.rnaseqccounts,GSM1312746.Yakut.rnaseqccounts
ENSG00000185900.9,POMK,23,5,12,0,20,15
ENSG00000254198.1,AC113191.1,10,3,4,4,8,8
ENSG00000165102.15,HGSNAT,155,214,213,167,353,237
ENSG00000253611.1,VN1R46P,0,0,0,0,0,0
ENSG00000253884.1,AC022616.5,0,0,0,0,0,0
ENSG00000255166.1,AC022616.7,0,0,0,0,0,0
ENSG00000253312.1,AC022616.3,0,0,0,0,0,0
ENSG00000253186.2,AC022616.2,0,0,0,0,0,0
ENSG00000253606.2,AFG3L2P1,0,0,0,0,0,0
ENSG00000234713.3,AC022616.1,0,0,0,0,0,0
ENSG00000253707.1,AC022616.4,0,0,0,0,0,0
ENSG00000188877.12,POTEA,0,0,0,0,0,0
ENSG00000238509.1,RNU6-104P,0,0,0,0,0,0
ENSG00000255497.1,AC022616.8,0,0,0,0,0,0
ENSG00000254342.1,AC022616.6,0,0,0,0,0,0
ENSG00000201329.2,RF00012,0,0,0,0,0,0
ENSG00000250637.2,AC134698.1,0,0,0,0,0,0
ENSG00000254069.2,AC134698.4,0,0,0,0,0,0
ENSG00000253319.1,AC134698.3,0,0,0,0,0,0
ENSG00000253418.1,SNX18P27,0,0,0,0,0,0
ENSG00000254145.1,AC134698.5,0,0,0,0,0,0
ENSG00000253748.2,CYP4F44P,0,0,0,0,0,0
ENSG00000253195.2,AC134698.2,0,0,0,0,0,0
ENSG00000253845.1,AC139365.2,0,0,0,0,0,0
ENSG00000253198.1,AC139365.1,0,0,0,0,0,0
ENSG00000276685.1,RF01518,0,0,0,0,0,0
ENSG00000253425.2,HSPA8P13,0,0,0,0,0,0
ENSG00000248498.4,ASNSP1,0,0,2,0,0,0
ENSG00000254070.1,AC104576.1,0,0,0,0,0,0
ENSG00000251470.1,ASNSP4,0,0,0,0,0,0
ENSG00000228984.3,AC021451.1,0,0,0,0,0,0
ENSG00000250857.3,TRIM60P15,0,0,0,0,0,0
ENSG00000253314.6,LINC00293,1,0,0,0,0,0
ENSG00000253828.3,MTND2P38,0,0,0,0,0,0
ENSG00000282321.1,MTND1P7,0,0,0,0,0,0
ENSG00000252594.1,RNU6-656P,0,0,0,0,0,0
ENSG00000254118.1,MTCYBP20,0,0,0,0,0,0
ENSG00000254156.1,MTND6P20,0,0,0,0,0,0
ENSG00000253803.1,AC091163.3,0,0,0,0,0,0
ENSG00000253745.1,AC091163.1,0,0,0,0,0,0
ENSG00000253782.1,AC091163.2,0,0,0,0,0,0
ENSG00000215179.5,MAPK6P4,0,0,0,0,0,0
ENSG00000222099.1,RN7SKP32,0,0,0,0,0,0
ENSG00000248347.3,AC120036.1,0,0,0,0,0,0
ENSG00000285992.1,AC120036.5,0,0,0,0,0,0
ENSG00000200986.1,RNU6-819P,0,0,0,0,0,0
ENSG00000188873.4,RPL10AP2,0,0,0,0,0,0
ENSG00000248531.3,NDUFA5P12,0,0,0,0,0,0
ENSG00000254348.1,AC120036.3,0,0,0,0,0,0
ENSG00000255366.1,AC120036.4,0,0,0,0,0,0
ENSG00000253502.1,ATP6V1G1P2,0,0,0,0,0,0
ENSG00000253817.1,AC120036.2,0,0,0,0,0,0
ENSG00000215177.3,IGLV8OR8-1,0,0,0,0,0,0
ENSG00000164808.16,SPIDR,113,184,109,129,156,89
ENSG00000253330.1,AC024451.2,2,2,2,1,0,1
ENSG00000269924.1,AC024451.4,0,3,10,3,8,7
ENSG00000251354.3,AC024451.1,0,0,0,0,3,4
ENSG00000254065.1,AC024451.3,0,0,0,0,1,4
ENSG00000207369.1,RNU6-665P,0,0,0,0,0,0
ENSG00000221869.4,CEBPD,14,24,26,24,40,26
ENSG00000253729.7,PRKDC,2025,2767,1981,1634,3267,1786
ENSG00000207450.1,RF00019,0,0,0,0,0,0
ENSG00000104738.17,MCM4,1582,1856,1495,1232,2790,2140
ENSG00000222522.1,RNU6-519P,0,0,0,0,0,0
ENSG00000169139.12,UBE2V2,1476,378,776,712,1063,1266
ENSG00000253843.1,AC104989.1,0,0,0,0,0,0
ENSG00000253654.2,AC105029.1,0,0,0,0,0,0
ENSG00000252710.1,RNU6-295P,0,0,0,0,0,0
ENSG00000277418.1,RNA5SP531,0,0,0,0,0,0
ENSG00000224594.2,RPL29P19,0,0,0,0,0,0
ENSG00000279881.1,AC041040.1,0,0,0,0,0,0
ENSG00000253140.1,AC026904.1,83,56,95,40,11,123
ENSG00000253688.2,AC026904.2,0,0,0,0,0,0
ENSG00000253608.1,AC022915.2,0,0,0,0,0,0
ENSG00000233858.4,LINC02599,0,0,0,0,0,0
ENSG00000253702.1,AC026904.3,0,0,0,0,0,0
ENSG00000253455.1,AC022915.1,0,0,0,0,0,0
ENSG00000253892.1,AC022915.3,0,0,0,0,0,0
ENSG00000034239.11,EFCAB1,0,0,0,0,0,0
ENSG00000233109.4,AC013701.1,0,0,0,0,0,0
ENSG00000019549.12,SNAI2,0,0,0,0,0,0
ENSG00000168333.13,PPDPFL,0,0,0,0,0,0
ENSG00000253474.1,AC022568.1,0,0,0,0,0,0
ENSG00000199640.1,RN7SKP294,0,0,0,0,0,0
ENSG00000254268.1,RFPL4AP7,0,0,0,0,0,0
ENSG00000253380.1,AC090155.2,0,0,0,0,0,0
ENSG00000253206.1,AC090155.1,0,0,0,0,0,0
ENSG00000253810.1,PSAT1P1,0,0,0,0,0,0
ENSG00000253484.1,AC113145.1,0,0,0,0,0,0
ENSG00000271148.1,AC023762.1,0,0,0,0,0,0
ENSG00000147481.16,SNTG1,0,0,0,1,0,0
ENSG00000253849.1,AC090539.1,0,0,0,0,0,0
ENSG00000254392.1,AC090539.2,0,0,0,0,0,0
ENSG00000254358.1,CYCSP22,0,0,0,0,0,0
ENSG00000253340.1,AC087272.1,0,0,0,0,0,0
ENSG00000201316.1,RF00409,0,0,0,0,0,0
ENSG00000253664.1,AC012413.1,0,0,0,0,0,0
ENSG00000147485.13,PXDNL,0,0,0,1,2,0
ENSG00000254025.1,BRIX1P1,0,0,0,0,0,0
